"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"sample","Jimmy",NA,"http://i.imgur.com/eemMAi2.png",NA,NA,"sample"
"sample","Blue",NA,"http://i.imgur.com/MeAnl8i.png",NA,NA,"sample"
