name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Blue	316	539	451500	NA	0.442	NA	0.7	9.67	4367.41	7.16	10.233	13.821	10	246.2	5
Jimmy	103	228	467200	NA	0.383	NA	0.22	4.46	2086.04	2.58	11.687	20.253	10.06	251.53	10
