name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Control	857	1396	1562800	0.641	0.545	0.692	0.548	7.19	11237.31	5.39	9.835	13.112	8.3	240	5
Large.spacing.(smaller.text)	751	1252	1592000	0.613	0.484	0.723	0.472	6.56	10443.28	4.65	9.866	13.906	8.22	250	3
