name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
No.infodot	3028	5248	4987100	0.633	0.472	0.69	0.607	8.44	42067.54	6.01	9.906	13.893	8.17	2000	3
Yellow.infodot	3327	5682	4979100	0.644	0.46	0.707	0.668	8.87	44169.45	6.62	9.911	13.276	8.17	500	3
