name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Now.is.the.time	1265	2018	2114600	0.692	0.524	0.711	0.598	8.58	18140.67	5.8	9.7	14.34	8.17	1000	3
Please.Donate	1219	2023	2092100	0.657	0.486	0.703	0.583	8.57	17933.23	5.91	10.149	14.711	8.17	1000	3
