"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_1223_tbhd","Closing.the.side.tab.also.closes.the.top.banner",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1223_tbhdBn_enYY.png",NA,NA,"B13_1223_tbhd"
"B13_1223_tbhd","Closing.the.side.tab.doesn't.close.the.top.banner",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1223_tbhdTb_enYY.png",NA,NA,"B13_1223_tbhd"
