name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Closing.the.side.tab.also.closes.the.top.banner	17018	27507	16765800	0.645	0.499	0.712	1.015	14.01	234961.56	10.02	9.87	13.807	8.24	1000	3
Closing.the.side.tab.doesn't.close.the.top.banner	17442	28120	17146300	0.67	0.503	0.712	1.017	14.84	254506.8	10.08	9.913	14.592	8.24	10000	3
