name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
2.euro.ask	1209	3085	2400800	NA	0.328	0.518	0.504	6.15	14776.74	4.51	8.955	12.222	6.77	501.73	5
3.euro.ask	1148	2859	2419900	NA	0.356	0.516	0.474	5.56	13464.84	4.32	9.097	11.729	6.77	136.34	3
