"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B14_0205_amt_3_2_fiFI","3.euro.ask",NA,NA,NA,NA,"B14_0205_amt_3_2_fiFI"
"B14_0205_amt_3_2_fiFI","2.euro.ask",NA,NA,NA,NA,"B14_0205_amt_3_2_fiFI"
