name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Twin.A	675	1068	598100	0.692	0.521	0.72	1.129	18.19	10880.1	11.4	10.102	16.119	10	500	3
Twin.B	679	1089	597100	0.655	0.531	0.69	1.137	19.37	11565.67	12.14	10.678	17.033	10	500	3
