"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_1230_twn","Twin.A",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1230_twn1_enUS.png",NA,NA,"B13_1230_twn"
"B13_1230_twn","Twin.B",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1230_twn2_enUS.png",NA,NA,"B13_1230_twn"
