"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_1216_Dec201","Best.from.2012",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1216_Dec2012_enYY.png",NA,NA,"B13_1216_Dec201"
"B13_1216_Dec201","Best.from.Dec.2013",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1216_Dec2013_enYY.png",NA,NA,"B13_1216_Dec201"
