name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Best.from.2012	485	719	1498200	0.68	0.601	0.758	0.324	4.66	6987.34	3.37	10.412	14.407	10	100	5
Best.from.Dec.2013	915	1642	1463100	0.606	0.462	0.683	0.625	9.53	13945.46	6.38	10.206	15.241	8.15	1000	3
